County,m1712
Adams,"$782,044"
Alamosa,NR
Arapahoe,"$881,650"
Archuleta,NR
Boulder,"$1,816,738"
Chaffee,NR
Clear Creek,"$32,356"
Denver,"$14,510,755"
Eagle,"$132,404"
El Paso,"$8,513,185"
Fremont,"$146,945"
Garfield,"$233,612"
Gilpin,NR
Grand,NR
Gunnison,NR
Jefferson,"$1,427,543"
La Plata,"$300,663"
Larimer,"$1,164,472"
Las Animas,"$49,588"
Mesa,NR
Moffat,NR
Montezuma,"$67,895"
Montrose,NR
Morgan,NR
Otero,NR
Ouray,NR
Park,NR
Pitkin,"$60,311"
Pueblo,"$514,218"
Routt,"$177,246"
San Miguel,NR
Sedgwick,NR
Summit,"$126,502"
Weld,"$415,204"
Sum of NR Counties,"$571,066 "
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
